Año,Total_reportado,Suma_valores_disponibles,Diferencia
2000,22508.6364907252,22508.6364907252,0
2001,22065.192709663457,22065.192709663457,0
2002,24102.854628343648,24102.854628343648,0
2003,22033.24001328118,22033.240013281178,3.637978807091713e-12
2004,21744.84934037851,21744.84934037851,0
2005,22315.428053839503,22315.428053839503,0
2006,23532.9852118603,23532.985211860298,3.637978807091713e-12
2007,24309.008339733584,24309.008339733584,0
2008,23051.2867558999,23051.286755899895,3.637978807091713e-12
2009,22647.658798558947,22647.658798558947,0
2010,23541.034960564837,23541.03496056484,-3.637978807091713e-12
2011,24035.78131893477,24035.781318934773,-3.637978807091713e-12
2012,24274.972060099677,24274.97206009967,7.275957614183426e-12
2013,23904.014812041787,23904.014812041787,0
2014,24441.090721597993,24441.090721598,-7.275957614183426e-12
2015,26273.699203975986,26273.699203975986,0
2016,27531.770307860563,27531.770307860563,0
2017,27443.912358230245,27443.912358230245,0
2018,29015.963601826323,29015.963601826334,-1.0913936421275139e-11
2019,27727.41748869158,27727.417488691575,3.637978807091713e-12
2020,24797.72633782782,24797.726337827815,3.637978807091713e-12
2021,28013.201981079317,28013.201981079317,0
2022,15589.096261762701,15589.096261762701,0
