Año,Variable,Valor_imputado,Negativo
2019,Bagazo de caña,1020.928253509797,FALSE
2020,Bagazo de caña,1111.650363624624,FALSE
2021,Bagazo de caña,1178.4481080750757,FALSE
2022,Bagazo de caña,892.5387202721945,FALSE
2019,Coque,1479.761879911589,FALSE
2020,Coque,1161.372806270563,FALSE
2021,Coque,1413.419739632579,FALSE
2022,Coque,1269.9377288132846,FALSE
2000,Gas natural,-675.9784882115464,TRUE
2001,Gas natural,220.86915965737103,FALSE
2002,Gas natural,570.1872821719307,FALSE
2019,Leña,1782.4622082221483,FALSE
2020,Leña,1685.679543014797,FALSE
2021,Leña,1737.5870463529657,FALSE
2022,Leña,1592.6631023001617,FALSE
2019,Otros primarias,38.42514401065338,FALSE
2020,Otros primarias,34.72671991574968,FALSE
2021,Otros primarias,36.119309271423795,FALSE
2022,Otros primarias,31.177746644104516,FALSE
