Variable,Método,Numero_predicciones,MAE,RMSE,Sesgo,Negativos,Posicion
Bagazo de caña,Media_ultimos_3,32,51.74440516252052,75.56250780258277,-4.3083905007931556,0,1
Bagazo de caña,Lineal_log,32,56.42931653535472,81.99348633152401,-10.723120667160849,0,2
Bagazo de caña,Lineal_original,32,56.79162924854873,82.25377925755853,-10.48409491576037,0,3
Bagazo de caña,missForest_con_Año,32,58.90251738045953,80.6534531397806,11.133558642423335,0,4
Coque,Media_ultimos_3,32,201.2870691831696,262.4357491763205,-123.95896840638576,0,1
Coque,missForest_con_Año,32,345.967542838076,384.75765571998306,-345.967542838076,0,2
Coque,Lineal_original,32,387.54002446929405,452.55513392461137,372.1623320232651,0,3
Coque,Lineal_log,32,1362.6883386500883,1528.0736742535757,1362.6883386500883,0,4
Leña,missForest_con_Año,32,37.19684850739289,46.373271685238116,-11.031099679908358,0,1
Leña,Lineal_log,32,42.593895540641334,54.52212997935212,-18.14184578184703,0,2
Leña,Lineal_original,32,42.71611150246429,54.606802098234894,-18.033975138063056,0,3
Leña,Media_ultimos_3,32,47.21983787259687,56.77796562902814,-11.496764012247255,0,4
Otros primarias,Lineal_original,32,1.939851936288215,2.4275945663026577,-0.16271306426797716,0,1
Otros primarias,Lineal_log,32,2.152778751186643,2.566601681997936,0.1576353094686489,0,2
Otros primarias,Media_ultimos_3,32,2.440055827800161,3.0950553472895126,-2.1066317861376596,0,3
Otros primarias,missForest_con_Año,32,3.9677486735554353,4.414767113250667,-3.9522305708749603,0,4
